	一些前言	\nPS1：请于【】处添加角色与画风的tag描述；若无，请直接添加于tag组前\nPS2：请注意，本法典早期大部分tag以Nai3模型为基础测试整理，目前已转为Nai4.5测试。理论Nai系列与其他AI模型如Noob等模型通用。（其他模型应用请自行转换权重）\nPS3：标有字底颜色为此次更新增添的tag，字号较小的为附注内容\nPS4：若分类中的tag寻找不到，请活用WPS或其他软件自带的CTRL+F快捷键进行快速检索\nPS5：本法典一般于每月下旬或特殊日期（生日、节日等）更新，且保持月更，可据此判断本所长法典是否为最新版本。\nPS6：本法典为无偿免费分享，由一般所长整理编纂，tag多来源于解构原典群与其他群群友，在此对tag提供者提出感谢。\nPS7:若对法典收集tag存在疑问或者错误反馈，可以通过QQ：2319231932或2213681558（小号）联系一般所长，添加好友时请备注缘由。\nPS8：此外，于此特别感谢御堂/神宫寺、KKO、泡面、七号、别里磕夫这几位群友在tag整理上的协助支持，帮我解决了很多费时费力的基础工作，再次感谢\nPS9：当各位看到这一条的时候，证明所长法典今日（2025.12.29）已经两岁啦！再次感谢在编辑法典中提供助力的各位，提供Tag的各位，以及谋面或者素未谋面的使用这本法典的各位！希望我们还能在法典三岁见面！
中国	灵狐长袍	\nbare feet,detailed,soft shading,character design,fantasy,floating posture,ethereal aura,{{{seductive expression}}},ninja suit,dark black and silver hanfu with fox patterns,{fingerless lace gloves},{footed socks},female model catwalk,
中国	青花瓷连衣裙	\nlolita fashion,chinese ancient costume,double buns,a girl wearing a traditional-inspired white dress decorated with delicate blue and white porcelain pattern throughout the fabric,the dress features dark navy blue trim along the edges and hem,long sleeves in solid dark navy blue color with floral embellishments on the shoulders. white ankle socks and shiny black patent leather mary jane shoes with a strap across the instep. blue butterfly hair ornament.
中国	短款分层汉服	\n1girl,solo,erotic hanfu,ruqun style,sheer silk fabric,low-cut collar,deep v-neckline,off-shoulder sleeves,wide flowing sleeves,high thigh slits,layered pleated skirt,lace-trimmed hems,ornate floral embroidery,gold thread accents,beaded sash belt,pearl tassel ornaments,jade hairpin accessories,silk ribbon ties,exposed midriff,corset waist cinch,fishtail hem design,
中国	汉服	\nblue robe,blue sash,chinese hairpin,hair bun,hanfu,high collar,long eyelashes,maple leaf print,sidelocks,single hair bun,tassel,【holding umbrella,oil-paper umbrella,looking at viewer,】（撑伞附件）
中国	浅绿汉服	\n{{{{{hanfu}}}}}},{{{{chinese clothes}}}},acient,wuxia,pale green,white clothes,{{pale green}},
中国	禅杖主母	\n1girl,frilled dress holding staff,material growth,chinese clothes,china dress,single thighhigh,kneehighs,detached sleeves,cleavage cutout,clothing cutout,asymmetrical legwear,white thighhighs,white dress,single kneehigh,bare shoulders,wide sleeves,long sleeves,uneven legwear,cross-laced clothes,wrist cuffs,white sleeves,cross-laced slit,pelvic curtain,sleeveless dress,back bow,frills,side slit,
中国	原版杂项	\nlooking at viewer,leaning forward,standing,hand up,hand on own chin,feet out of frame,blurry background,
中国	赏雪季服	\n4::hanfu,elegant::,eyeliner,eyelashes,eyeshadow,wide hips,{{curvy,plump}},sagging breasts,expressionless,pink lips,puffy lips,thick thighs,tall,white clothes,2::rabel,red cape,fur trim,red surcoat,tender,tassel,long sleeves,blue print,thighhighs,half-closed eyes,snow,sunlight,light and shadow,looking at viewer,hand on own chin,arm on another arm,pale skin,
中国	蛇纹身	\narm tattoo,black skirt,chinese clothes,feet out of frame,floral background,floral print,flower tattoo,hand up,inset border,irezumi,leg tattoo,lips,looking at viewer,looking over eyewear,miniskirt,puffy short sleeves,puffy sleeves,red flower,red shirt,round eyewear,seal impression,short sleeves,skull tattoo,snake,snake tattoo,solo,sunglasses,tattoo,
中国	竹林印花汉服	\nhanfu,modernized chinese clothes,aoqun,white top,standing collar,pankou,frog buttons,wide sleeves,ink wash painting print,bamboo print on sleeves,black pleated skirt,mamianqun,layered skirt,light green sash,embroidered belt,long tassels,
中国	星座印花旗袍	\nthick thighs,black china dress,2::white constellation print thighhighs::,see-through thighhighs,shiny constellation print,hair flower,white garter straps,gold trim,tassel,lace-trimmed gloves,kanzashi,red eyeshadow,long eyelashes,black high heels,wide shot,impossible dress,feather boa,clothing cutout,underboob,underboob cutout,sideboob,
中国	原版杂项	\nhalf-closed eyes,skindentation,indoors,holding tanghulu,pelvic curtain,from side,lying,on bed,full body,moon,night,night sky,smile,round window,looking at viewer,fireworks,
中国	星光汉服	\nhanfu,flowing fabric,wide sleeves,layered clothing,galaxy print,starry sky print,nebula patterns,iridescent sheen,ethereal glow,shimmering material,long skirt,pleated skirt,inner tunic,outer robe,embroidered details,intricate patterns,silk sash,jade pendant,traditional chinese footwear,embroidered shoes,patterned socks,hair ornaments,jeweled hairpin,delicate earrings,elegant posture,serene expression,smile,subtle makeup,pearl hairpins,floral hairpiece,veil,sheer fabric,high collar,traditional chinese clothing,celestial theme,cosmic patterns,draped fabric,luminous threads,intricate embroidery,
中国	飞天舞女	\nchinese ancient costume,dunhuang style,dancer,bangle,bracelet,anklet,detached sleeves,earrings,frilled shawl,hagoromo,revealing clothes,harem outfit,lotus hair ornament,neck ring,stomach,no panties,groin,partially visible vulva,cleft of venus,bare shoulders,bare back,bare legs,barefoot,jewelry,
中国	裁剪唐装	\nwhite pantyhose,long sleeves,black footwear,hair flaps,bell,pleated skirt,red shirt,closed mouth,white skirt,chinese clothes,pom pom hair ornament,pom pom (clothes),tangzhuang,midriff peek,neck bell,cowlick,jingle bell,waist jade pendant,
中国	双刀刺客	\nblack thighhighs,bare shoulders,red dress,bridal gauntlets,chinese clothes,side slit,detached sleeves,holding dagger,holding knife,sword,white flower,double holding,
中国	原版杂项	\nlooking at viewer,looking back,blue background,from side,gradienstanding,t background,cowboy shot,floating hair,ass,blush,reverse grip,
中国	触手道士	\nblack hanfu,black shoes,chinese clothes,closed mouth,creature,full body,half updo,holding scroll,long sleeves,looking at viewer,messy hair,open coat,red coat,robe,standing,tentacles,tentacles under clothes,wide sleeves,
中国	难民	\nbare legs,barefoot,blood,blood on leg,blush,bruise,child,chinese clothes,dirty,dirty clothes,dirty face,dirty feet,eating,feet,full body,grey robe,hanfu,holding food,injury,knees up,long sleeves,male focus,messy hair,off shoulder,robe,single bare shoulder,sitting,snow,snowing,steamed bun,toes,torn clothes,wide sleeves,
中国	短款黑色龙纹旗袍	\nlong sleeves,jewelry,bare shoulders,standing,earrings,black dress,sleeveless dress,bell,chinese clothes,short dress,slit pupils,tassel,china dress,jingle bell,gold trim,black sleeves,tassel earrings,print dress,dragon print,leg tattoo,black shorts,
中国	常规剑仙	\nsword smith,{{{hanfu,white silk robe,elegant,china sword,white shoes}}},
中国	白虎拳师	\n{{tiger girl}},chinese clothes,feet,fighting stance,glaring,purple rope,stirrup legwear,striped hair,striped tail,tassel,toeless legwear,white gloves,white loincloth,white shirt,white tiger,
中国	绒毛披肩白丝旗袍侠女	\nindoors,white hanfu,chinese clothes,blue hair ribbon,fur cloak,{{{long scabbard behid back}}},side cleavage,hairpin,side-tie,sideboob,flowers pattern,white thighhighs,puckered lips,cyan lipstick,oiled shinny skin,cowboy shot,from side,
中国	带刀侍卫	\ncowboy shot,holding sword,dress with white dragon patterns,black trousers,{black cloak},white tiger print,red ribbon,expressionless,outdoors,chinese architecture,
中国	富豪商女	\nink wash painting,zhongguo hua,calligraphy,inkblot,indoors,folding screen with floral pattern,round window,peony (flower),bonsai,ink-gold pavilions,hanging scroll,jade-inlaid mahogany counters,bead curtain,choko (cup)，sakazuki,vermilion lacquer columns wrapped in gold leaf clouds,treasure,ink (medium),ink wash painting,spot color,seductive smile,open mouth,{sharp teeth},slit pupils,gold trim,gold jade pendant,jewelry,holding smoking pipe,sitting,crossed legs,gold hair ornament,green jade bangle,ink-silk hanfu with liquid gold embroidery,yunjian,print collar,ace-trimmed thighhighs,tassel,
中国	毛披贵妇	\ntassel,expressionless,ancient china,with a white cloth belt,{{single hair bun}},feather boa,china dress,white cheongsam,highleg,white hanfu,chinese clothes,fur cloak,side tie,hairpin,cold expression,indifferent,aloof,icy stare,
中国	原版背景组件	\nblue background,oval background,upper body,
中国	民国学生	\nindoors,chinese house,chinese window,plants,wooden chair,sunlight,wooden table,head tilt,light blue chinese clothes,head tilt,short shirt,long skirt,black skirt,round eyewear,books,side tie,
中国	侧裙分离袖旗袍	\nlong dress,white dress,short dress,china dress,detached sleeves,white sleeves,wide sleeves,frilled sleeves,layered sleeves,black gloves,half gloves,miniskirt,showgirl skirt,frilled skirt,see-through skirt,groin,high heels,dragon print,
中国	室内贵妇	\nchinese clothes,china dress,hand fan,holding fan,black gloves,red dress,covered navel,high heels,looking at viewer,black footwear,smile,bare shoulders,sleeveless dress,pelvic curtain,sleeveless,bare legs,thighs,standing,folding fan,tattoo,side slit,paper fan,fur trim,hand up,table,shawl,single earring,jewelry,indoors,foliage,vase,hanging scroll (ink wash painting),window,white theme,cinematic lighting,tyndall effect,background light,light particles,unbuttoned clothes,cleavage,breasts apart,stiletto heels,toe cleavage,solo focus,groin,[[[ink]]],[[[calligraphy brush]]],vase,ceramics,blue and white porcelain,wooden floor,reflective floor,seductive smile,
中国	吹笛	\nclosed eyes,hair stick,half updo,tied hair,hair rings,mandarin collar gown,silk organza wide-sleeved robe,translucent organza overskirt printed with fluttering butterflies,sitting on railing,holding dizi,transverse flute,playing flute,tassel,
中国	古筝	\ncowboy shot,upper body,collarbone,{{{cross-collar ruqun}}},{{{playing pipa}}},quqin sleeves,flowing ribbons,silk brocade,moon-shaped soundhole,pearl inlaid tuning pegs,crane feather picks,resonance aura,floating scroll,ink wash strings,finger position closeup,silk cushion seat,vibrating strings,ancient score scroll,acoustic reflection,silk embroidery,plum blossoms,fire butterfly,fire energy,{{{purple light,backlight,soft backlighting}}},floating petals,jade bracelet,pearl hairpin,gentle gaze,{{{satin sheen}}},golden hour glow,
中国	白虎剑侠	\ncowboy shot,holding sword,pale skin,expressionless,{black cloak},cape,black trousers,red ribbon,outdoors,chinese architecture,dress with white dragon patterns,white tiger print,dark shadow,hand on hilt,chinese sword,
中国	虎纹汉服	\n{{{{{pale skin}}}}},white colored tips,cleavage,expressionless,looking to the side,fine fabric emphasis,jiaoling ruqun,hair flower,tiger print hanfu,yellow hanfu,white wide sleeves,{{long skirt}},chinese hairpin,hagoromo,white sash,golden trim,steaming body,steam,shiny skin,very sweaty,oiled skin,{{{curvy}}},narrow waist,hand on own arm,outdoors,bamboo forest,
中国	枫叶印花运动款汉服	\npom pom hair ornament,wrist scrunchie,maple leaf print,high collar,sleeveless,blue robe,hanfu,tassel,visor cap,blue sash,shorts,bare arms,navel,
中国	渔家少女	\n{{earphones}},{bamboo hat,jade lock collar,tassel earrings,folding fan phone case,tie-dye embroidered collar shirt,ink-wash crack leather jacket,side slit tai chi pants,cloud pattern leggings,split-toe slippers,sachet pendant,copper coin belt,qing porcelain crack nail polish},
中国	临危抵抗残损汉服少女	\nlong sleeves,bandaged arm,{{{{torn clothes}}}},collarbone,bandaged head,red dress,bandaged arm,bleeding from mouth,{blood},{there’s blood everywhere},{{a lot of blood}},{covered in blood},rain,hanfu,wet,streaming tears,knife,spitting blood from mouth,
中国	电法修行	\nwhite shirt,chinese clothes,rice hat,glowing eyes,electricity,electrokinesis,amulet,brown headwear,sash,open mouth,bandaged arm,wrist wrap,
中国	棍棒学徒	\nchinese clothes,dark blue hanfu,bo staff,gold headband,standing,arm wrap,leg wrap,
中国	练功劲装	\n{yellow trim},{white kimono},white hanfu,long sleeves,wide sleeves,{yellow loincloth},white pelvic curtain,white waist apron,white waist cape,long waist cape,{pelvic curtain},{waist cape},waist apron,{puffy pants},{white pants},knee boots,white boots,{{{{simple clothes}}}},
中国	踩脚袜练功服	\nfrom below,chinese clothes,feet,leg up,black fingernails,black toenails,fighting stance,purple rope,stirrup legwear,tassel,toeless legwear,white loincloth,white shirt,
中国	黄色汉服持扇少女	\nhand fan,long sleeves,wide sleeves,holding fan,hair flower,red footwear,looking at viewer,sitting,yellow dress,chinese clothes,branch,shoes,full body,folding fan,hanfu,paper fan,smile,sleeves past wrists,hair rings,round window,vase,window,closed mouth,frills,white flower,
中国	摘桃仙女	\nfacial mark,forehead mark,grin,hagoromo,hair flower,hair rings,hand up,holding fruit,huadian,necklace,peach,pink flower,purple flower,purple hanfu,white shawl,wide sleeves,
中国	敦煌舞女（实际效果可能更像孔雀舞娘）	\n{{{{dunhuang style}}}},{{{{body markings}}}},shiny skin,sweat,steaming body,{{{abstract background}}},{{close-up}},{{peacock feathers,feathers,breast curtain,harem outfit,pelvic curtain,showgirl skirt}},see-through,jewelry,belly chain,dancing,knee up,armlet,mouth veil,floating,floating clothes,floating hair,covered nipples,no shoes,toes,shawl,navel,arm up,feet out of frame,
中国	深色古装	\n{{{fine fabric emphasis}}},silver earrings,hair clip,plain clothes,{black clothes},{black hanfu},{{{right lapel}}},long sleeves,black plum dress pattern,red edging,pleated skirt,barefoot,
中国	书香之家	\nhanfu,long sleeves,forehead mark,paintbrush,wide sleeves,sitting,branch,sash,facial mark,red dress,holding brush,earrings,lantern,book,holding paintbrush,finger on lips,dripping,
中国	华贵绒毛汉服	\nhair ring,{{{hanfu}}},blue upper shan,mandarin collar,white pleated skirt,layered dress,lightcyan fur capelet,wide sleeves,overlapping collar,tassel,embroidery,gold trim,chinese style,blue waistband,hair bobbles,hair flower,white transparent thighhighs,lace-trimmed legwear,toeless legwear,white pibo,
中国	连体黑丝汉服	\nchinese clothes,bare legs,gold high heels,shawl,shiny skin,{{dudou}},fan,off shoulder,{{see-through cleavage}},{{bodystocking,hanfu}},
中国	古典美人	\nshiny skin,closed mouth,hair flower,hand fan,necklace,holding fan,long sleeves,upper body,folded fan,{{hanfu,chinese clothes}},hair bun,wide sleeves,shawl,facial mark,tassel,ring,x hair ornament,from side,cleavage,
中国	国风大小姐	\nwhite hanfu,chinese clothes,blue hair ribbon,fur cloak,{{{long scabbard}}},side cleavage,hairpin,side-tie,sideboob,flowers pattern,white thighhighs,
中国	出水芙蓉	\n{close-up},{{{hanfu}}},{see-through},{{white dress}},long dress,layered sleeves,wide sleeves,chinese clothes,chinese hairpin,tassel,{shawl},{nsfw},{{{see through water surface}}},perspective water surface,lying,{{coming out of the water}},{{lower body submerged in water}},{upper body out of water},{{half water surface photography}},
中国	剑仙	\nshiny skin,blush,holding sword,chinese sword,{{dynamic angle}},{{{{{hanfu}}}}},chinese clothes,transparent clothes,tassel,chinese knot,bare shoulders,kanzashi,draped silk,gold trim,wind,bokeh,scattered leaves,flying splashes,waterfall,splashed water,looking at viewer,{{{close-up}}},face focus,from side,sunrise,
中国	剑仙	\nmountains,standing,sword,dancing,kuji-in,hanfu,feixianji (hairstyle),see-through shawl,see-through,no bra,loose clothes,hanfu,qixiong ruqun,closed mouth,unsheathing,see-through hanfu,gold trim,hair flower,{{orchid}},smile,cowboy shot,jian(weapon),two-finger salute,
中国	阴阳法衣	\n{{{hanfu}}},crop top overhang,yin yang,black and white,{{shawl,hagoromo}},short skirt,midriff,toeless boots,bridal gauntlets,bare shoulders,yin yang print,
中国	仙子	\n{{hair up,chinese clothes,hanfu}},black dress,strapless,ribbon,white dress,two-tone dress,see-through shawl,tassel,chinese knot,floral print hanfu,gold trim,
中国	其他版本	\nhair flower,half-closed eyes,light smile,naked {{hanfu}},chinese clothes,wide sleeves,see-through shawl,off shoulder,long dress,pastel ink,shuimo,petals,bare shoulders,necklace,
中国	吹笛人	\nchinese clothes,closed mouth,flute,hair stick,half-closed eyes,playing flute,long sleeves,looking down,tassel on flute,tassel hair ornament,{{chinese instrument,wooden flute,bamboo flute}},
中国	古筝弹奏	\nink wash painting,chinese clothes,greyscale,hair stick,hand up,long sleeves,looking at viewer,monochrome,{{{transparent clothing}}},silk dress,{{{{{koto (instrument)}}}}},koto on the table,{{{{{playing instrument}}}}},seiza,{{{{{wariza}}}}},bare shoulders,see-through sleeves,
中国	舞扇旗袍	\nchinese clothes,short sleeves,breast cutout,side slit,belly chain,chinese knot,earrings,bracelet,bare legs,holding fans,opened fans,paper fans,spread arms,dynamic pose,floral patterns,fold fans,flowing fabric sleeves,fan tassels,dual wielding,
中国	中式婚服1	\nbride,focusing on the face,parted bangs,red veil,bridal veil,china dress,long sleeves,red dress,chinese clothes,wedding dress,earrings,forehead mark,red flower,tassel,
中国	中式婚服2	\nchinese wedding,bride,{{{red veil}}},china dress,hanfu,chinese clothes,wedding dress,earrings,red flower,tassel,gold trim,smile,
中国	凤凰印花中式婚服	\n{{chinese wedding dress}},{{red wedding veil}},{{phoenix crown}},red embroidered dress,traditional chinese wedding attire,
中国	闺房新娘	\nred ballet slippers,red rope,choker,sitting,chinese-ancient-chair,bridal veil,{{covered head,covered face}},chinese clothes,red chinese wedding dress,facing viewer,honggaitou,long sleeves,long dress,sitting,red veil,front view,indoor,wodden box,red curtain,dim lighting,gloomy environment,ray tracing,red candles,red petals,changmingsuo,coins,tassel-trimmed capelet,ofuda,ofuda on head,red lantern,legs together,red theme,\nr18组件\narms behind back,terror scenes,bound legs,ofuda on nipples,restrained,bound together,bound torso,
中国	道袍（附带一点龙女）	\nsleeveless dress,long dress,china dress,purple sash,indigo dress,detached sleeves,wide sleeves,side slit,barefoot,bare legs,pointy ears,ankletsingle person standing painting,【black dragon horns,dragon\ntail】（龙女部分）,
中国	其他版本	\nchinese clothes,{duster},green robe,hair bun,hands up,hanfu,holding duster,red shirt,
中国	红袍道士	\n{copper coins},{taoist priest},{{black underwear}},wide sleeves,long sleeves,tassel,{{bandages}},china clothes,hanfu,sash,ponytail,arm wrap,red ribbon,{{red robes}},coat,messy hair,{black short dress},
中国	挥毫	\n{{{huge brush,writing brush,on shoulder}}},black taoist robe,china clothes,{talisman earring,hairpin,{{{control ink splashing}}}},upper body,
中国	仙侠服饰	\n{ear rings,light makeup,large breast,lipstick}},{{{hanfu,white silk robe,elegant,china sword,white shoes}}},{{flying,kendo,sword image}},{{xianxia,mountain,floating buildings,floating islands,outdoor,lightning,temple}},
中国	仙女	\nkimono,kimono dress,backless outfit,crystal high heels,bridal gauntlets,earrings,frilled dress,frills,waist cape,laurel crown,leaf on head,aqua shawl,white dress,cross-laced corset,golden bangle,blue bow,clothing cutout,
中国	侠客	\nancient china,white and red clothes,tang attire,wielding sword,holding sword,bamboo hat,with a white cloth belt,tied hair,
中国	异妆女侠	\n{{china sword,sword on back}},long sleeves,black taoist robe,magatama,magatama earrings,necklace,shoulder guard,forehead mark,facial mark,blue eyeshadow,blue lips,silver jewelry,long sword,
中国	古装剪短无袖版	\npom pom hair ornament,wrist scrunchie,maple leaf print,high collar,sleeveless,blue robe,hanfu,tassel,visor cap,blue sash,shorts,bare arms,navel,
中国	春节儿童服	\nanimal hat,aoqun,arm up,bag,blush,chinese clothes,chinese new year,mindress,red dress,fur-trimmed boots,fur-trimmed sleeves,fur trim,hanfu,hongbao,hutou hat,lion dance,long sleeves,red footwear,shoulder bag,smile,solo,standing,tanghulu,winter clothes,new year,short skirt,confetti,
中国	肚兜（几乎不能出）	\nbare shoulders,{collarbone,naked red chinese hanfu},breasts strap,bare arms,{{{shoulder strap,side-tie}}},{{short dress}},covering breasts,covering pussy,bottomless,
中国	原版	\nbare shoulders,sweat,{naked red chinese hanfu},hanfu neck strap,breasts strap,bare arms,erotic lingerie,{{{side-tie}}},{{very short hanfu}},belt,blush,covering breasts,covering pussy,looking at viewer,navel,panties,sitting,smile,topless,
中国	研究初版	\n{naked red chinese hanfu},hanfu neck strap,breasts strap,bare arms,erotic lingerie,{{{side-tie}}},{{very short hanfu,panties,off back}},
中国	女帝	\n{{{hanfu}}},mature female,{{dragon robe,longpao,eastern dragon,elegant}},close-up,loose hair,expressionless,queen,layered sleeves,wide sleeves,{{{china palace}}},{{{yellow clothe,dragon print}}},sitting,close-up,china crown,china throne,hair stick,chinese hairpin,tassel,golden dragon,
中国	原版	\n{{{hanfu}}},mature female,{{dragon robe,longpao,elegant}},close-up,long hair,loose hair,expressionless,queen,layered sleeves,wide sleeves,{{{china palace}}},{{{yellow clothe,dragon print}}},sitting,{{{hand on own face}}},serious,close-up,china crown,china throne,hair stick,yellow eye shadow,chinese clothes,huge breast,chinese hairpin,tassel,golden dragon,colorful,detailed light,light leaks,sunlight,shine on girl’s body,bokeh,blurry foreground,ray tracing,lens flare,cinematic lighting,absurdres,{{sunshine}},
中国	采药医师	\n{{{holding plant}}},{{{light green hanfu,chinese clothes}}},{white coat},glasses,tanding,hair flower,white flower,walking stick,{backpack basket},
中国	包子店老板	\nwhite chef suit,steamed bun restaurant,in restaurant,landspace,making baozi,smiling
中国	包子少女	\npanda,bamboo steamer,black thighhighs,long sleeves,wide sleeves,depth of field,chinese clothes,black skirt,bun cover,frills,baozi,pleated skirt,blush,food,sleeves past wrists,frilled sleeves,
中国	包子店服务员/截断旗袍	\nmidriff,navel,double bun,bun cover,pelvic curtain,baozi,bamboo steamer,hair flower,mouth hold,holding tray,cleavage cutout,sleeveless,bare shoulders,crop top,white dress,steam,
中国	国风女仆厨娘	\nlooking at viewer,parted lips,holding tray,holding chopsticks,knee up,bare legs,maid,chinese style,hanfu,white chest pleated skirt,pinafore,detached sleeves,wide sleeves,light yellow sleeves,gold trim,lace,bare shoulders,frilled,chinese knot,anklet,mary janes,hoop earrings,maid headwear,hair stick,bangle,indoors,table,close-up,dynamic angle,from side,light particles,
中国	佛家服装	\nsangha,chinese ancient style,lotus terrace,{kasaya}topless,buddhist beads,indian style,golden lotus,
中国	少数民族服饰	\n{{chinese lolita dress}},{{intricate embroidery}},{{{{{{flowing tassels}}}}}},{{{{{{{{chinese knot decorations}}}}}}}},{{{{{{elegant lace}}}}}},{{{{{{pearl embellishments}}}}}},{{{{{{{{{{silk fabric}}}}}}}}}},{voluminous skirt},{delicate ruffles},{ornate headpiece},{{{{{traditional chinese motifs}}}}},
中国	苗族服饰	\nethnic style,silver headdress,hanging beads,red top,colorful patterns,silver decorations,blue shawl,dark skirt,ethnic style patterns,tassels,bracelets,
中国	苗族服装	\n1girl,chinese clothes,crown,floral print,miao clothes,miao hat,tassel,white crown,wide sleeves,crop top,detached sleeves,dizi,forehead jewel,petals,tassel,turtleneck,fashion,flower,hoop earrings,jewelry,midriff,navel,chinese clothes,chinese hairpin,{{hagoromo}},{purple hanfu},shawl,bracelet,arm under breasts,{floating clothes},cowboy shot,floating clothes,
中国	其他版本1	\n1girl,black nails,looking at viewer,solo,upper body,chinese clothes,crown,floral print,miao clothes,miao hat,tassel,white crown,wide sleeves,underboob,crop top,detached sleeves,petals,tassel,turtleneck,fashion,hoop earrings,jewelry,midriff,navel,chinese clothes,chinese hairpin,purple hanfu,bracelet,cowboy shot,floating clothes,backlight,soft light,high contrast,colorful,detailed light,sunlight,shine on girl’s body,cinematic lighting,
中国	舞狮服（n3不可出）	\nlion dance,wide pant,detached sleeves,long sleeves,chinese clothes,
中国	节日舞狮	\nsmile,lion dance,lion head mask,dynamic pose,leaping motion,silk fabric,golden tassels,red and gold,flowing ribbons,martial arts stance,festive atmosphere,firecrackers,paper lanterns,acrobatic movement,partial mask visibility,embroidered shoes,lion fur texture,eye contact,cloud patterns,smoke effect,motion blur,fabric billowing,festive makeup,exposed midriff,dragon embroidery,team coordination,ceremonial stage,
中国	黑/红旗袍	\n【黑】\neastern dragon,flute,chinese clothes,china dress,pelvic curtain,black thighhighs,hair flower,bead bracelet,earrings,tassel,black footwear,bare shoulders,\n【红】\nchina dress,red dress,sleeveless dress,white thighhighs,bead bracelet,earrings,tassel,pelvic curtain,bare shoulders,happy new year,
中国	附带各种旗袍变式	\nabnormal cheongsam,backless cheongsam,low cut cheongsam,halter cheongsam,bare hip cheongsam,lace-up cheongsam,\n（依次为畸形旗袍、露背旗袍、低胸旗袍、挂脖旗袍、露臀旗袍、系带旗袍,可叠加）
中国	毛披旗袍	\ntassel,ancient china,feather boa,china dress,white cheongsam,highleg,white hanfu,chinese clothes,fur cloak,side tie,hairpin,sect entrance,clan gate,traditional architecture,grand entrance,eastern fantasy,arms crossed,looing at viewer,
中国	蓝红双色打伞旗袍	\n{{blue long sleeves}},short skirt,red chinese dress,standing,leaning forward,hands on hips,tight dress,{{white pantyhose}},side slit,flower hairpin,ribbon,high heels,cloud patterned dress,thigh strap,umbrella,
中国	端茶旗袍女	\nlooking at viewer,blush,smile,open mouth,cleavage,sitting,:d,sweat,indoors,elbow gloves,white gloves,white dress,off shoulder,white thighhighs,cup,sleeveless,covered navel,upper teeth only,double bun,skindentation,arm support,chinese clothes,cleavage cutout,table,china dress,pelvic curtain,side slit,teacup,bun cover,cross-laced clothes,armpit crease,asymmetrical gloves,tea,saucer,single elbow glove,sideless outfit,on table,cross-laced dress,cross-laced slit,
中国	乘凉	\nfair skin,curvy,wide hips,traditional chinese dress,pale green dress,high slit,short sleeves,floral pattern,hair accessory,pearl earrings,pearl necklace,pearl bracelet,holding fan,outdoor,daylight,natural lighting,summer,garden,trees,stone bridge,sitting,crossed legs,high heels,beige heels,elegant,serene expression,soft focus background,shallow depth of field,rule of thirds,leading lines,symmetrical composition,soft textures,natural environment,calm atmosphere,traditional fashion,beauty,delicate features,medium skin tone,slim physique,subtle makeup,
中国	浣纱女	\nchinese ancient beauty,delicate features,willow-leaf eyebrows slightly furrowed,pale complexion with faint blush,translucent silk dress,in celadon green,washing gauze by stream,carp diving underwater,slender jade-like fingers,flowing black hair with bamboo hairpin,soft morning light,misty riverside with lotus flowers,traditional ink-wash painting style,elegant posture,subtle melancholic expression,ethereal beauty,intricate warring states bronze hair accessories,layered deep garment with curved hem,natural plant-dyed fabric texture,handwoven bamboo basket with mulberry leaves,fragile collarbones visible through thin silk,semi-transparent veil over shoulders,slightly parted pale lips,shadow under almond-shaped eyes,ripples around submerged fish,strands of hair floating in breeze,wet silk clinging to ankles,lotus petals falling on water surface,
中国	白虎旗袍	\n1girl,looking at viewer,blush,smile,open mouth,long sleeves,navel,cleavage,bare shoulders,sitting,flower,thighs,earrings,parted lips,lying,detached sleeves,choker,indoors,hair flower,wide sleeves,on back,armpits,nail polish,collar,fingernails,legs,groin,fur trim,strapless,clothing cutout,sleeveless dress,feet out of frame,bare legs,detached collar,sideboob,makeup,night,no bra,no panties,hair intakes,chinese clothes,facial mark,floral print,white dress,crossed legs,white flower,tassel,revealing clothes,china dress,couch,skin fang,white nails,pelvic curtain,strapless dress,hand fan,side slit,hair rings,fur collar,shawl,lantern,dragon tail,center opening,folding fan,black collar,cross-laced clothes,antlers,chinese zodiac,horn ornament,holding fan,on couch,architecture,white collar,east asian architecture,tassel earrings,reclining,paper lantern,vase,print dress,paper fan,flower knot,gourd,red sleeves,sideless outfit,feather boa,dragon print,tassel hair ornament,side cutout,chinese knot,fur scarf,stomach cutout,fake antlers,year of the dragon,cutout above navel,heart facial mark,clothes between thighs,cross-laced dress,cross-laced slit,side-tie peek,animal,tiger,white tiger,big cat,animal companion,white fur,black stripes,lying down,
中国	黑白双色版本	\n{{white dress}},black dress,{{{two-tone dress}}},layered clothing,china dress,cross-laced clothes,highleg,
中国	阴阳旗袍	\nwhite dress,black dress,china dress,chinese clothes,daxiushan,hair bow,long dress,jewelry,leaf,outdoors,white bow,yin yang,yin yang earring,side slit,
中国	功夫少女	\n{standing on one leg,crane stance,fighting stance,kung fu,martial arts},cloud pattern,china dress,pelvic curtain,double bun,dragon print,holding fan,folding fan,
中国	水蓝色旗袍（阮梅cos）	\naqua dress,white gloves,fur trim,bare shoulders,china dress,elbow gloves,cleavage,sash,thigh strap,pelvic curtain,twintails,
中国	喜庆旗袍	\nhalter dress,china floral print,small breasts,china dress breast curtain,cleavage cutout,necklace,red dress with golden pattern,silk,skinny,
