	一些前言	\nPS1：请于【】处添加角色与画风的tag描述；若无，请直接添加于tag组前\nPS2：请注意，本法典早期大部分tag以Nai3模型为基础测试整理，目前已转为Nai4.5测试。理论Nai系列与其他AI模型如Noob等模型通用。（其他模型应用请自行转换权重）\nPS3：标有字底颜色为此次更新增添的tag，字号较小的为附注内容\nPS4：若分类中的tag寻找不到，请活用WPS或其他软件自带的CTRL+F快捷键进行快速检索\nPS5：本法典一般于每月下旬或特殊日期（生日、节日等）更新，且保持月更，可据此判断本所长法典是否为最新版本。\nPS6：本法典为无偿免费分享，由一般所长整理编纂，tag多来源于解构原典群与其他群群友，在此对tag提供者提出感谢。\nPS7:若对法典收集tag存在疑问或者错误反馈，可以通过QQ：2319231932或2213681558（小号）联系一般所长，添加好友时请备注缘由。\nPS8：此外，于此特别感谢御堂/神宫寺、KKO、泡面、七号、别里磕夫这几位群友在tag整理上的协助支持，帮我解决了很多费时费力的基础工作，再次感谢\nPS9：当各位看到这一条的时候，证明所长法典今日（2025.12.29）已经两岁啦！再次感谢在编辑法典中提供助力的各位，提供Tag的各位，以及谋面或者素未谋面的使用这本法典的各位！希望我们还能在法典三岁见面！
口交（类口交/颜射）	事后侧坐口交	\nnsfw,uncensored,1girl,1boy,hetero,ass focus,from behind,from below,foreshortening,size difference,indoor,bedroom,bed,white sheet,pillow,window,curtains,potted plant,steam,hot,mist,motion lines,motion blur,\nchar1：girl,facing away,sitting,1.5::yokozuwari ::,on side,implied fellatio,hands up,pussy,labia,clitoris,vaginal,cum in pussy,cum overflow,cum drip,cum trail,excessive cum,pussy juice,pussy juice trail,^^^,trembling,twitching,curvy,completely nude,steaming body,heavy breathing,heart,very sweaty,sweatdrop,\nchar2：boy,muscular,standing,hands on another’s head,head grab,
口交（类口交/颜射）	事后侧躺口交	\n{{hands on another’s head}},{{{{{fellatio,blowjob,deepthroat,irrumatio}}}}},{{{{trembling,heart}}}},{{head between thighs,lying,on side}},hetero,1boy,1girl,{{shiny skin,oiled}},sweat,steaming body,{{{{pussy juice,pussy juice stain}}}},cumdrip,{cum in pussy,excessive cum},cum on body,stomach,blush,{{heavy breathing}},tears,blurry,{{indoors}},bedroom,dynamic angle,
口交（类口交/颜射）	第一人称戴射精后避孕套几把压脸	\n1boy,1girl,after ejaculation,blush,cleavage,cum,heart,heart-shaped pupils,heavy breathing,hetero,looking at viewer,male pubic hair,nude,oral invitation,penis on face,penis over one eye,pov,pubic hair,solo focus,sweat,tongue out,used condom,used condom on penis,
口交（类口交/颜射）	侧视预备逆向口交	\n1boy,1girl,ellatio,from side,hair spread out,hetero,imminent fellatio,large penis,leash,lying,on back,open mouth,oral,penis,penis awe,profile,reverse fellatio,upside-down,
口交（类口交/颜射）	书下口交	\n1boy,cum,hetero,heart,oral,facial,pubic hair,2::female holding book,implied fellatio::,book covered penis,\nchar1：boy,pov,book,blush,looking at viewer,stray pubic hair,male pubic hair,\nchar2：girl,cum in mouth,sweat,solo focus,cum on breasts,open book,trembling,
口交（类口交/颜射）	第一人称口交时看身份证	\nnsfw,uncensored,1girl,hetero,penis,1boy,cum,facial,v,blush,cum on hair,penis on face,fellatio,oral,phone,cum in mouth,face focus,only face,pov,close up,{{id card,hold id card}},
口交（类口交/颜射）	其他版本1	\nnsfw,uncensored,1girl,hetero,penis,1boy,cum,facial,v,blush,cum on hair,penis on face,fellatio,oral,phone,cum in mouth,face focus,only face,pov,close up,{{id card,hold id card}},{{{smegma}}},-4::multiple views::,{{solo,pale skin}},1.5::long eyelashes::,{{{petite}}},{{huge penis,veiny penis,large testicle}},
口交（类口交/颜射）	原版妆容	\n1.5::long eyelashes::,2::purple shiny eyeshadow,shiny eyeshadow::,2::shiny lips,purple lipstick::,
口交（类口交/颜射）	口交时身份证展示	\n{{{full mask}}},{stray pubic hair},{{smeared lipstick,bite mark}},nsfw,uncensored,1girl,hetero,penis,1boy,cum,facial,v,blush,cum on hair,penis on face,fellatio,oral,phone,cum in mouth,face focus,only face,pov,close up,{{id card,hold id card}},{{{smegma}}},-4::multiple views::,
口交（类口交/颜射）	看电影时侧躺口交	\n1girl,1boy,straight-on,dark,movie theater,blurry background,red couch,1.3::underlighting::,\nchar1：girl,cropped hoodie,hood down,drawstring,crop top overhang,white hoodie,taut shorts,blue shorts,3d glasses,yokozuwari,on couch,looking over eyewear,:>=,open mouth,on side,source#lying on person,source#penis grab,source#fellatio,source#licking penis,source#looking at viewer,target#hand on another’s ass,\nchar2：boy,head out of frame,behind another,facing viewer,black pants,pants pull,penis out,large penis,testicles,erection,white shirt,sitting,on couch,spread legs,arm at side,source#hand on another’s ass,target#lying on person,target#penis grab,target#fellatio,target#licking penis,target#looking at viewer,
口交（类口交/颜射）	无漏野外蹲姿口交	\n1girl,1boy,hetero,nsfw,from side,out-of-frame censoring,outdoors,forest,plant,blurry foreground,day,sunlight,tree,tree shade,dappled sunlight,implied fellatio\nchar1：boy,from side,deep blue pants,black shoes,lower body,pants pull,standing,target#implied fellatio,target#hand on another’s ass,target#pulling another’s clothes,\nchar2：girl,from side,eyes out of frame,sundress,white dress,saliva,drip,white sandals,hug and suck,hug,source#implied fellatio,squatting,arched back,source#hand on another’s ass,source#pulling another’s clothes,hands up,
口交（类口交/颜射）	折扇口交遮盖	\nno hat,white hanfu,white china dress,1boy,1girl,blush,center opening,clothed female nude male,detached sleeves,3::fellatio,covered fellatio,implied fellatio::,folding fan,hand fan,holding fan,imminent fellatio,looking at viewer,large penis,solo focus,2::from side::,heart-shaped pupils,2::covered mouth,covered penis::,face focus,cum,erection,3:::>=::,
口交（类口交/颜射）	其他版本1	\nprofile,sideways glance,implied fellatio,{corruption},1girl,{{{see-through silhouette}}},1boy,{{:>=}},3::fellatio under hand fan::,{{{{{{{see-through silhouette,silhouette behind hand fan}}}}}}},holding fan,{{penis behind hand fan},penis behind the hand fan,hand fan,heart-shaped pupils,large breasts,sweat,blush,oral,solo focus,fellatio,cleavage,bare shoulders,looking at viewer,collarbone,testicles,from side,halterneck,folding fan,{muscular male},indoors,pubic hair,
口交（类口交/颜射）	其他版本2	\n{{nsfw}},{{{from side}}},clothed female nude male,imminent fellatio,looking at viewer,solo focus,face focus,cum,{{indoors,day,cherry tree}},\nchar1：girl,{long eyelashes},blush,center opening,stray pubic hair,{{{{pink hand fan,holding fan}}}},3::folding fan,fellatio,covered fellatio,implied fellatio::,{cleavage},2::covered mouth,covered penis::,2::pink eyeshadow,shiny eyeshadow::,3:::>=::,{{half closed eyes,animal collar,frown}},\nchar2：male,very dark-skinned male,{muscular black man},{{{{black skin}}}},interracial,manly,{{sitting}},{{cumdrip,hand on another’s head}},
口交（类口交/颜射）	膝枕侧躺口交	\n1girl,1boy,{{from front}},indoors,sofa,sitting,lying,nsfw,\nchar1：girl,{{lying on lap}},{{lying on side}},{{source#fellatio}},{{licking}},{{source#penis}},saliva,drooling,\nchar2：boy,unbuttoned pants,{{{target#penis}}},{{target#fellatio}},hand on her head,
口交（类口交/颜射）	侧视骑身口交	\n2::from side::,bed,pillow,steam,hot,sound effects,3::the boy is kneeling on the pillow while the girl lies beneath his crotch,the boy’s penis enters her mouth::,\nchar1：girl,feet out of frame,puffy nipples,stomach,thick thighs,female pubic hair,lying,on back,irrumatio,deepthroat,spoken heart,steaming body,heavy breathing,twitching,spasm,trembling,very sweaty,\nchar2：boy,2::boy on top::,irrumatio,cum in mouth,deepthroat,
口交（类口交/颜射）	腿间视角浴室跪姿馋几把	\nfrom below,indoors,bathroom,tile floor,steam,fog,hot,blurry foreground,blurry background,2::high contrast,greyscale,::,3::the viewer’s perspective is from between the boy’s legs near the floor,with his two legs occupying most of the sides of the frame,making the boy appear very tall::,\nchar1：girl,solo focus,completely nude,plump,ass,huge breasts,nipple slip,yokozuwari,looking at boy,looking up,covering privates,open mouth,saliva,full-face blush,smile,frown,penis awe,steaming body,heavy breathing,twitching,spasm,trembling,spoken blush,very sweat,\nchar2：boy,standing,completely nude,-1::penis::,
口交（类口交/颜射）	有人送蛋糕来桌底口交（不稳定）	\n3::side view::,2::speed lines::,\nchar1：girl,deep throat,kneel on the gronud,under the desk,ahegao,\nchar2：boy,muscle boy,gigantic penis,dark skined,3::two hands holding female’s head,\nchar3：girl,standing on the left,holding a cake,
口交（类口交/颜射）	理发吃鸡	\n{{saliva trail}},1girl,hetero,1boy,uncensored,penis,gyaru,closed eyes,heart,hair tucking,tongue out,cleavage,open mouth,blush,solo focus,grey background,oral,testicles,fellatio,age difference,
口交（类口交/颜射）	原版服装	\nclothed female nude male,black choker,dark skin,kogal,piercing,leopard print,black nails,pink sweater,sweater,off shoulder,dark-skinned female,earrings,jewelry,
口交（类口交/颜射）	拉开嘴口交邀请	\nchar1：girl,heart-shaped pupils,close-up,lying,on back,uneven eyes,half-closed eye,smug,1.5::open own mouth,tongue out,hands on own mouth,mouth pull,fingers in own mouth::,\nchar2：boy,pov,pov hand,male masturbatn,from above,2::straight-on::,kneeling,straddling,boy on top,male pubic hair,large penis,phimosis,penis,mosaic censoring,erection,testicles,
口交（类口交/颜射）	邀请口交身体写作	\nclose-up,dynamic pose,1girl,solo,spot color,sweat,lower teeth only,cum on face,head focus,face focus,cheek writting,open mouth,arrow,shy,blush,arrow points to the mouth,text on face,finger pointing own mouth,smile,saliva-like stringy texture,2::eyes out of frame::,
口交（类口交/颜射）	被口交侍奉时摸头玩手机	\n1girl,1male,hetero,on couch,indoors,living room,nsfw,uncensored,front view,straight-on,hearts,sound effect,upper body,\nchar1：1girl,sagging breasts,black bra,black pantyhose,no footwear,girl lying,on couch,girl hand on another’s penis,grabbing another’s penis,fellatio,mouth holding,penis in mouth,half closed eyes,expressionless,full face blush,sweatdrop,steam,heavy breathing,saliva trail to penis,\nchar2：boy,muscular male,nude male,male sitting,spread legs,large penis,veiny penis,testicles,male hand on another’s head,head pat,male holding smartphone,hand up,
口交（类口交/颜射）	牵绳母狗桌底口交	\nnsfw,1girl,1boy,from above,face focus,pov,fisheye,blurry foreground,close-up,table,chair,office,1.5::steam,sweat,smell,hot::,\nchar1：girl,leash,animal collar,in heat,1.2::penis awe,penis covering one eye,smelling,smelling penis,heavy breathing::,paw pose,tongue out,oral invitation,in heat,head on another’s crotch,under table,blush,nude,wariza,steam,tail,tail wagging,\nchar2：boy,clothed,2::pov hand,viewer holding leash::,1::penis,precum::,sitting,legs apart,steam,unzipped pants,pubic hair,
口交（类口交/颜射）	口交后舔手	\nout-of-frame censoring,solo,1girl,upper body,curvy,collarbone,huge breasts,cleavage,large areola,covered nipples,groin,stray pubic hair,looking at viewer,licking finger,facial,cum on body,cum on breasts,cum on hands,half-closed eyes,in heat,spoken heart,frown,seductive smile,blush,steaming body,heavy breathing,heart,very sweat,
口交（类口交/颜射）	原版服装	\ntracen training uniform,red track suit,white shirt,wet clothes,see-through shirt,impossible clothes,bottomless,jacket partially removed,
口交（类口交/颜射）	贴近侍奉	\n{{{{{{{1girl,couple,face focus,saliva string}}}}}}},{{{{{{{{smile,kneel,nude,ass,half-open eyes,looking at viewer,pale skin,bedroom,many saliva,hold boy legs}}}}}}}},{{heart}},{{{{lick penis,smooth shading,smooth,shiny shading,wide hips}}}},
口交（类口交/颜射）	原版妆容	\nred lips,red nails,thick red eyeshadow,huge eyeshadow,shiny eyeshadow,long eyelashes,
口交（类口交/颜射）	玩具强制高潮逆向口交	\nnsfw,uncensored,from above,dutch angle,indoors,wooden floor,exercise ball,steam,hot,depth of field,motion lines,blurry edges,2::the boy holding hitachi magic wand against the girl’s pussy with one hand,while gripping her wrist with the other. the girl lies on a exercise ball,one hand grasped by the boy and the other resting on her nipple::.\nchar1：girl,completely nude,puffy nipples,navel,stomach,groin,thick thighs,female pubic hair,pussy,lying,on back,lying on ball,leaning on ball,arched back,fellatio,spread legs,head back,steaming body,heavy breathing,twitching,spasm,trembling,female ejaculation,female orgasm,heart,very sweat,\nchar2：boy,completely nude,pubic hair,standing,penis,deepthroat,2::holding sex toy,holding hitachi magic wand,forced orgasm::,holding another’s wrist,head out of frame,
口交（类口交/颜射）	口交同时震动棒强制高潮	\nfrom above,dutch angle,indoors,wooden floor,exercise ball,steam,hot,depth of field,motion lines,blurry edges,2::the boy holding hitachi magic wand against the girl’s pussy with one hand,while gripping her wrist with the other. the girl lies on a exercise ball,one hand grasped by the boy and the other grabbing own breast::,\nchar1：girl,completely nude,puffy nipples,navel,stomach,groin,thick thighs,female pubic hair,pussy,clitoris,clitoral hood,lying,on back,lying on ball,leaning on ball,arched back,fellatio,spread legs,head back,grabbing own breast,steaming body,heavy breathing,twitching,spasm,trembling,female ejaculation,female orgasm,heart,very sweat,\nchar2：boy,completely nude,pubic hair,standing,penis,deepthroat,2::holding sex toy,holding hitachi magic wand,forced orgasm::,holding another’s wrist,head out of frame,
口交（类口交/颜射）	仰头脸贴几把舔蛋手交	\n1girl,1boy,hetero,{{uncensored}},hetero,nipples,collar,squatting,tongue out,navel,pussy,pussy juice,{heart},tiptoes,kneeling,licking,collarbone,nude,{head back},nipples rings,{saliva,saliva trail},choker,{{licking testicle}},{{raise your hands above your head,two-handed handjob}},saliva,
口交（类口交/颜射）	原版男性部分	\nvery dark-skinned male,{muscular black man},{{{{black skin}}}},interracial,precum,manly,hands on hips,{{black huge penis,veiny penis,large testicle}},pink lip marks on penis,standing,
口交（类口交/颜射）	第一人称蒙眼母狗口交	\n1girl,1boy,pov,black pantyhose,all fours,blush,pet play,solo focus,indoors,black pants,no shoes,hetero,long sleeves,black blindfold,school uniform,black shirt,covered eyes,ass,wooden floor,viewer holding leash,animal collar,facing viewer,serafuku,panties under pantyhose,penis,crotch pov,saliva,smelling,licking penis,precum,miniskirt,projectile cum,white shirt,
口交（类口交/颜射）	坐在胸部上口交（不稳定）	\n1girl,1boy,shota,oral sex,fellatio,grabbing another’s head,2::sitting on another’s breasts::,
口交（类口交/颜射）	扯发强制亲吻几把	\n1girl,1boy,nsfw,cowboy shot,\nchar1：girl,nude,kneeling,sitting on knees,cheek pressed against penis,looking at viewer,grin,tongue out,leaning forward,hands on thighs,\nchar2：boy,standing over girl,grabbing her hair,pulling head back,large penis against cheek,veiny penis,dominant,no pants,muscular male,lipstick marks on penis,
口交（类口交/颜射）	原版	\n1girl,1boy,nsfw,pov,cowboy shot,looking at viewer,black man grabbing her head and rubbing large penis on her cheek,penis covered in her kiss marks,lewd smile,emphasis on cheek rubbing and kiss marks on penis,erect penis,lipstick marks,\nchar1：girl,{{red lips}},erotic black bodystocking leotard,highleg,sheer black material,large breasts straining against fabric,cleavage exposed,no bra,crotchless or torn at crotch,black thighhighs connected to leotard,no panties,glossy material,qos tattoo on cheek or thigh,kneeling,sitting on knees,head grabbed from behind,face turned to side with cheek pressed against penis,looking at viewer with lewd grin,mouth slightly open,tongue out slightly,body leaning forward,hands on thighs,\nchar2：boy,standing over girl,hand grabbing her hair firmly,pulling head back slightly,large penis rubbing against her cheek,veiny erect penis with multiple lipstick kiss marks,muscular legs visible,dominant pose,nude male lower body,large erect penis,veiny,kiss marks all over shaft and glans,no pants,muscular thighs,otherwise clothed upper body if implied but focus on lower,
口交（类口交/颜射）	口中精液灌满展示	\ngirl,cum,3::excessive cum,cum in mouth,full mouth cum,filled with cum::,2::mouth focus,face focus,close-up::,tongue out,-1::cumdrip::,eyes out of frame,open mouth,v over mouth,closed mouth,smug,half-closed eyes,
口交（类口交/颜射）	其他版本1（恶堕婚纱）	\n{white thighhighs,no shoes,white dress,see-through,toeless footwear,no panties,cleavage,long dress,garter straps,long sleeves,garter belt,veil,covered navel,sagging breasts},cum,3::excessive cum,cum in mouth,full mouth cum,filled with cum::,2::mouth focus,face focus,close-up::,tongue out,-1::cumdrip::,eyes out of frame,open mouth,v over mouth,closed mouth,smug,half-closed eyes,{{stray pubic hair}},{{queen of spades symbol}},{{{{make up,purple eyeshadow,heart-shaped stickers,purple lips}}}},areola slip,sweat,used condom,{{naughty face}},{{plump,shiny skin,breasts apart,large areola,pubic hair,fat mons,heavy breathing,thick thighs,wide hips,wet}},
口交（类口交/颜射）	败北口交差分	\n1.5::2koma,instant loss::,silent comic,\nchar1：girl,solo,upper body,blush,{{angry}},shouting,pointing at viewer,\nchar2：girl,slave,pov penis,fellatio,tearing up,nude,choker,collarbone,deepthroat,
口交（类口交/颜射）	口交后吐气【吐气：breathe out thick steam,】	\narmpits,steaming body,shiny skin,half-closed eyes,upper body,breathe out thick steam,from side,drooling,solo,glance at viewer,screen fogging,sounds effect next to mouth,cum overflow from mouth,after fellatio,cum in mouth,cum string,
口交（类口交/颜射）	口交顶起脸颊	\n1girl,penis,fellatio,oral,hetero,1boy,collarbone,cheek bulge,cum in mouth,saliva,
口交（类口交/颜射）	头顶几把吸蛋	\n1girl,{{{{{{sucking testicles}}}}}},huge penis,veiny penis,extremely detailed penis,penis on head,{{licking testicle}},testicle sucking,looking at penis,large testicles,blush,inverted nipples,precum,saliva,saliva trail,excess saliva,{{lipstick mark on penis}},{{{{stray pubic hair}}}},heart-shaped pupils,heart,{{{face focus}}},{full body},{{{{purple eyeshadow}}}},{{{{purple lipstick}}}},blush,sweat,{{{smooth skin,shiny skin}}},wide hips,curvy,ass visible through thighs,
口交（类口交/颜射）	面纱下口交	\n{{:>=}},{{mouth veil}},collar,erection,fellatio,fellatio under mask,
口交（类口交/颜射）	其他版本1	\n1boy,1girl,blush,squinting,secuctive,covered fellatio,fellatio,fellatio under mask,torn clothes,slap mark,huge penis,lace veil,lipstick mark,oral,penis,skin tight,veiny penis,from above,pov,
口交（类口交/颜射）	端着蛋糕进门但是有人桌下口交（不稳定）	\n2girls,1boy,\nchar1：girl,blush,open mouth,tongue out,saliva trail,half-closed eyes,exhausted,looking up,puffy nipples,kneeling under desk,oral,hand grabbing own breast,\nchar2：boy,sitting on chair,::penis in girl’s mouth,deepthroat::,\nchar3：girl,holding strawberry cake,smiling,standing,
口交（类口交/颜射）	逆口交自慰	\n1girl,1boy,solo focus,nsfw,after fellatio,pov,hetero,gym storeroom,mat,shade,indoors,\nchar1：girl,from above,upside-down,gym uniform,white gym shirt,blue buruma,white socks,wet clothes,see-through clothes,after fellatio,target#penis on face,target#penis on head,saliva,saliva trail,stray pubic hair,tongue out,hand up,v,peace sign,cum in mouth,ahegao,pussy juice puddle,excessive pussy juice,empty eyes,lying,on back,knees up,spread legs,wet,steaming body,tremble,hand on own crotch,covering crotch,very sweaty,covered nipples,half-closed eye,\nchar2：boy,pov,penis out,large penis,veiny penis,erection,saliva on penis,source#penis on face,target#penis on head,
口交（类口交/颜射）	口爆大量精液	\n1girl,1boy,close-up,hetero,after fellatio,excessive cum,fellatio,large penis,indoors,collared shirt,unbuttoned,unbuttoned shirt,white shirt,naked shirt,from side,facing another,{{{vomiting cum}}},cum in mouth,cum on body,cum on clothes,cum on hair,excessive cum,facial,rolling eyes,blush,frown,cum in nose,cum bubble,half-closed eyes,heavy breathing,slit pupils,tearing up,unconscious,open mouth,penis on face,
口交（类口交/颜射）	强制逆向口交被开门看到	\n1boy,fellatio,hetero,2girls,oral,multiple girls,penis,lying,on back,blush,irrumatio,nude,trembling,indoors,closed eyes,rape,dark-skinned male,open door,netorare,saliva,caught,cum,walk-in,desk,cleavage,empty eyes,table,from side,hand on another’s neck,cum in mouth,sign,testicles,
口交（类口交/颜射）	原版服装	\nclothed female nude male,police uniform,police hat,blue shirt,armband,open shirt,policewoman,black necktie,pink bra,collared shirt,partially unbuttoned,
口交（类口交/颜射）	口交后擦嘴坏笑差分	\n2views,1girl,solo,side-by-side comparison,split screen,close up,face focus,from side,nude,\nchar1：girl,looking at viewer,holding handkerchief,wiping mouth,covered mouth,\nchar2：girl,open mouth,cum in mouth,half closed eyes,smile,stray pubic hair,tongue out,
口交（类口交/颜射）	口交后帘下展示差分	\n2koma,steaming body,heavy breathing,blush,\nchar1：girl,purple veil,areme,from side,indoors,1.5::night::,large window,night cityscape outside,cropped shoulders,collarbone,1.5::covering own mouth,covered mouth::,holding cloth,girl holding cloth to covering own mouth,bare shoulders,completely nude,in heat,looking at viewer,half-closed eyes,\nchar2：girl,from above,from side,close-up,2::half-closed eyes::,mouth focus,open mouth,tongue out,stray pubic hair,cum in mouth,after fellatio,semen in mouth,heavy breathing,steam,blush,
口交（类口交/颜射）	正太萝莉双人口交侍奉	\nindoor,dimly lit room,sexual atmosphere,blowjob,nsfw,\nchar1：girl,{{{half closed eyes,shiny skin}}},wide hips,thick thighs,{{loli}},{lustful expression},blushing,kneeling,looking up,{{{sexy maid outfit}}},{{{french maid}}},{open bodice},{{{bare breasts}}},white apron,{{{micro skirt}}},{white thong},white gloves,source#serving,target#handjob,target#licking penis,target#blowjob,cum on hand,\nchar2：boy,muscular,dark skin,sitting,naked,{uncensored},huge penis,source#receiving blowjob,source#receiving handjob,dominant,cum,explosive,excessive cum,lipstick on penis,\nchar3：boy,shota,small penis,{lustful expression},blushing,kneeling,looking up,trembling,{{{{{detailed and erotic maid outfit}}}}},{black silk},{sheer abric},{intricate lace},{leather straps},{{{keyhole chest}}},{bare back},{choker},bell,{thighhighs with thorn patterns},small penis,source#serving,target#handjob,target#licking penis,cum on hand,
口交（类口交/颜射）	第一人称桌上聊天桌下口角差分	\n2girls,1boy,pov,speech bubble,spoken heart,stealth sex,2koma,penis,hetero,\nchar1：girl,expressionless,school uniform,white shirt,blue bowtie,oral,fellatio,deepthroat,under table,\nchar2：girl,glasses,black suit,white shirt,black pencil skirt,standing,behind table,arm support,angry,v-shaped eyebrows,bent over,leaning foward,
口交（类口交/颜射）	其他版本	\n2girls,oral,speech bubble,blush,fellatio,heart,under table,stealth sex,2koma,spoken heart,white shirt,comic,blue necktie,long sleeves,pov,deepthroat,penis,smile,hetero,collared shirt,white jacket,1boy,head rest,
口交（类口交/颜射）	跪姿身后几把压脸舔舐	\n{1girl,1boy},front view,spread legs,navel,precum drip,precum string,precum pool,boy sitting,girl kneeling,{faceless male},man sitting on bed edge,head grab,naked girl kneeling in front,licking penis together,{erect penis,precum dripping},{tongue on glans},{gazing up},{indoors,bedroom,dim lighting,on floor},{saliva trails},completely nude,
口交（类口交/颜射）	倒立口交（不稳定）	\nchar1：ahegao,rolling eyes,completely nude,upside-down,flexible,handstand,nude,oral sex,fellatio,from side,\nchar2：boy,erection,penis,
口交（类口交/颜射）	膝枕被颜射揉胸	\nnsfw,1girl,1boy,clothed female nude male,close-up view. the girl’s head is tilted back as she lies down on the boy’s thigh. her eyes are squeezed shut and her mouth is slightly open,revealing her curled tongue. a thick string of saliva drips from her lower lip and down her chin. the glans of the boy’s erect penis is positioned directly in front of her open mouth. the boy’s left hand grips the girl’s left breast,with his fingers spread and pressing down. the girl’s left arm is raised up,exposing her armpit,close-up,front view,from above,straight-on,\nchar1：girl,{{{penis on cheek}}},after fellatio,aftersex,messy hair,stray pubic hair,armpit,tilted head,{girl’s head resting on boy’s thigh},head on another’s thigh,on carpet,lying,half-closed eyes,{{cum on clothes}},{{{{{cum stain,stained clothes}}}}},{{excessive cum}},cum on body,facial,bukkake,cum on hair,heavy breathing,full-face blush,steaming body,saliva,drooling,sweat,saliva trail,heavy breathing,white tank top,\nchar2：boy,male pubic hair,hand on another’s chest,grabbing another’s breast,medium penis,testicles,cum on penis,cumdrip,
口交（类口交/颜射）	梦中颜射	\npenis,1girl,nipples,hetero,1boy,japanese text,cum on body,oral,blush,lying,on back,male pubic hair,speech bubble,completely nude,handjob,erection,cum in mouth,id card on nipple,cum string,after fellatio,testicles,closed eyes,sleeping,
口交（类口交/颜射）	第一人称颜射闭眼接受	\nnsfw,on bed,1girl,1boy,hetero,\nchar1：girl,solo focus,petite,cum on body,cum on hair,cum on hands,blush,closed eyes,straight-on,open hands,kneeling,\nchar2：boy,pov,huge penis,facial,
口交（类口交/颜射）	侵犯躺身事后多人口交	\ndark-skinned male,fat,penis,after ejaculation,hand on another’s head,cum on penis,full body,nipples,panties around one leg,open mouth,blush,bow panties,penis awe,cum in pussy,half-closed eyes,after vaginal,after sex,kissing penis,spoken heart,cum on body,cumdrip,white panties,spread legs,cum on stomach,cum on hair,lying,on back,sweat,cum on legs,
口交（类口交/颜射）	赌气口交后咀嚼精液	\n1boy,1girl,after fellatio,anger vein,cum,cum in mouth,cum on body,cum on clothes,cum on hair,facial,hand on another’s head,hetero,looking at viewer,motion lines,penis,penis grab,pout,sitting,solo focus,spoken anger vein,
口交（类口交/颜射）	口交漫画差分	\n1girl,heart,1boy,sweat,open mouth,from side,fellatio,oral,comic,tongue out,kneeling,hair tucking,testicles,open mouth,precum,male pubic hair,blush,japanese text,speech bubble,penis out,adjusting hair,smile,indoor,multiple views,penis out,bare neck,cum string,
口交（类口交/颜射）	其他版本	\n1girl,heart,1boy,revealing clothes,sweat,open mouth,1boy,from side,fellatio,oral,comic,tongue out,kneeling,testicles,open mouth,precum,male pubic hair,blush,japanese text,speech bubble,penis out,adjusting hair,smile,indoor,multiple views,penis out,bare neck,cum string,
口交（类口交/颜射）	口交前后差分	\n1girl,cum on hair,1boy,hetero,facial,testicles,erection,blush,veiny penis,cum string,veins,solo focus,closed mouth,half-closed eyes,after fellatio,comic,speech bubble,ejaculation,spoken heart,cum string,
口交（类口交/颜射）	强制口交后观察口爆情况	\n1girl,wariza,spread legs,hands on sheet,arms support,arms back,force head up,looking at viewer,half closed eyes,tears,embarrassed,full face blush,sweatdrop,frowning,open mouth,trembling,heavy breathing,steam,tongue out,cum in mouth,cum overflow,cum drip,cum trail,excessive cum,saliva,pov hand,pov hand grabbing another’s hair,hand on another’s head,from above,on bed,white sheet,indoors,bedroom,dark environment,after fellatio,closed to viewer,leaning back,slap mark on face,bruised,cum in nose,streaming tears,
口交（类口交/颜射）	第一人称口爆后失神开口	\n1girl,cum,1boy,hetero,facial,cum in mouth,male pubic hair,blush,tongue out,after fellatio,open mouth,cum on penis,large penis,pov,pov hands,finger in another’s mouth,cum on hair,erection,stray pubic hair,solo focus,cum on tongue,oral,fellatio,cum string,grabbing another’s hair,cumdrip,cum on clothes,blurry,after ejaculation,blurry background,head grab,cum on body,rolling eyes,completely nude,cum in nose,streaming tears,
口交（类口交/颜射）	侧视脸部特写深喉口爆后抽出几把	\n1girl,hetero,1boy,{{{2koma}}},completely nude,cum,hetero,facial,cum in mouth,male pubic hair,blush,tongue out,after fellatio,open mouth,cum on penis,large penis,from side,cum on hair,erection,stray pubic hair,solo focus,profile,cum on tongue,oral,fellatio,cum string,grabbing another’s hair,testicles,cumdrip,blurry,after ejaculation,blurry background,head grab,cum on body,rolling eyes,completely nude,
口交（类口交/颜射）	口交被炒饭事后漫画差分（注意char2、3用同一角色）	\npaneled background,comic,nsfw,bedroom,\nchar1：boy,\nchar2：girl,nude,cumdrip,ahegao,{fellatio,cum in pussy,cum in ass},bed,\nchar3：girl,{panel},pussy,anus,cumdrip,lying,
口交（类口交/颜射）	包皮清理	\n1girl,1boy,hetero,clean the foreskin,licking inside the foreskin without pulling it back,cum,precure,sweat,steaming body,pink glans,{tongue under foreskin},naughty face,smelling,foreskin bulge,tongue into foreskin,holding testicles,holding penis,
口交（类口交/颜射）	嗦面	\neyes out of frame,hair over eyes,table,upper body,mouth focus,adjusting hair,noodles,close-up,eat noodles,{{{{:>=}}}},chopsticks,simulated fellatio,holding with chopsticks,holding chopsticks,eating,
口交（类口交/颜射）	害羞色情吃冰棒	\n{{front view}},full body,loli,underage,blush,shy,eating,{{{popsicle,popsicle in mouth,girl hold popsicle}}},:>=,{{{motion lines}}},trembling,blush,saliva,tongue out,looking at viewer,{{restaurant}},{{sitting}},
